Id,Category,Family,Type,Level,LocationType,X,Y,Z,StartX,StartY,StartZ,EndX,EndY,EndZ
17837, , , Casework Tags, , None, , , , , , , , , 
17838, , , Ceiling Tags, , None, , , , , , , , , 
17839, , , Ceilings, , None, , , , , , , , , 
17842, , , Columns, , None, , , , , , , , , 
17843, , , Reference Planes, , None, , , , , , , , , 
17844, , , Crop Boundaries, , None, , , , , , , , , 
17845, , , Curtain Wall Mullions, , None, , , , , , , , , 
17846, , , Curtain Panels, , None, , , , , , , , , 
17852, , , Dimensions, , None, , , , , , , , , 
17853, , , Automatic Sketch Dimensions, , None, , , , , , , , , 
17854, , , Door Tags, , None, , , , , , , , , 
17855, , , Doors, , None, , , , , , , , , 
17856, , , Elevation Swing, , None, , , , , , , , , 
17858, , , Frame/Mullion, , None, , , , , , , , , 
17860, , , Glass, , None, , , , , , , , , 
17862, , , Opening, , None, , , , , , , , , 
17864, , , Panel, , None, , , , , , , , , 
17865, , , Plan Swing, , None, , , , , , , , , 
17866, , , Electrical Equipment, , None, , , , , , , , , 
17867, , , Electrical Equipment Tags, , None, , , , , , , , , 
17868, , , Electrical Fixture Tags, , None, , , , , , , , , 
17869, , , Electrical Fixtures, , None, , , , , , , , , 
17870, , , Elevations, , None, , , , , , , , , 
17871, , , Floors, , None, , , , , , , , , 
17874, , , Furniture, , None, , , , , , , , , 
17877, , , Furniture System Tags, , None, , , , , , , , , 
17878, , , Furniture Systems, , None, , , , , , , , , 
17879, , , Furniture Tags, , None, , , , , , , , , 
17880, , , Generic Annotations, , None, , , , , , , , , 
17881, , , Generic Models, , None, , , , , , , , , 
17882, , , Generic Model Tags, , None, , , , , , , , , 
17883, , , Grids, , None, , , , , , , , , 
17884, , , Internal Object Styles, , None, , , , , , , , , 
17887, , , Arrow 30 Degree, , None, , , , , , , , , 
17888, , , - element id 169, , None, , , , , , , , , 
17891, , , - element id 298, , None, , , , , , , , , 
17896, , , - element id 783, , None, , , , , , , , , 
17897, , , Aligning Line, , None, , , , , , , , , 
17898, , , Backed Up Elements, , None, , , , , , , , , 
17900, , , Datum Plane, , None, , , , , , , , , 
17902, , , "Linear - 3/32"" Trebuchet MS", , None, , , , , , , , , 
17903, , , Elevation - element id 102, , None, , , , , , , , , 
17905, , , Elevation - element id 127, , None, , , , , , , , , 
17906, , , Elevation - element id 1650, , None, , , , , , , , , 
17909, , , Elevation - element id 217, , None, , , , , , , , , 
17910, , , Elevation - element id 240, , None, , , , , , , , , 
17912, , , Elevation - element id 308, , None, , , , , , , , , 
17913, , , Elevation - element id 321, , None, , , , , , , , , 
17914, , , Elevation - element id 338, , None, , , , , , , , , 
17917, , , Elevation - element id 467, , None, , , , , , , , , 
17922, , , Elevation - element id 694, , None, , , , , , , , , 
17925, , , Elevation - element id 830, , None, , , , , , , , , 
17926, , , Flip Control, , None, , , , , , , , , 
17927, , , "1/4"" Bubble", , None, , , , , , , , , 
17928, , , No Head, , None, , , , , , , , , 
17929, , , Level - element id 139, , None, , , , , , , , , 
17934, , , "1/4"" Head", , None, , , , , , , , , 
17935, , , Level - element id 32, , None, , , , , , , , , 
17936, , , Level - element id 9780, , None, , , , , , , , , 
17937, , , Regenerating elements., , None, , , , , , , , , 
17938, , , Regeneration Failure, , None, , , , , , , , , 
17940, , , Work Plane Grid, , None, , , , , , , , , 
17941, , , Suspended Sketch, , None, , , , , , , , , 
17943, , , Tag 1, , None, , , , , , , , , 
17945, , , Tag - element id 74, , None, , , , , , , , , 
17946, , , Tag - element id 89, , None, , , , , , , , , 
17954, , , "1/4"" Trebuchet MS", , None, , , , , , , , , 
17955, , , Text - element id 65, , None, , , , , , , , , 
17956, , , Text - element id 95, , None, , , , , , , , , 
17957, , , Thin Pixel, , None, , , , , , , , , 
17958, , , Thin Pixel - Dash, , None, , , , , , , , , 
17959, , , Thin Pixel - DashDot, , None, , , , , , , , , 
17960, , , Thin Pixel - Dot, , None, , , , , , , , , 
17962, , , "Linear - 3/32"" Trebuchet MS", , None, , , , , , , , , 
17963, , , Levels, , None, , , , , , , , , 
17964, , , Lighting Fixture Tags, , None, , , , , , , , , 
17965, , , Lighting Fixtures, , None, , , , , , , , , 
17966, , , Lights, , None, , , , , , , , , 
17967, , , Lines, , None, , , , , , , , , 
17968, , , <Invisible lines>, , None, , , , , , , , , 
17969, , , <Sketch>, , None, , , , , , , , , 
17970, , , <Medium Lines>, , None, , , , , , , , , 
17971, , , <Thin Lines>, , None, , , , , , , , , 
17972, , , <Wide Lines>, , None, , , , , , , , , 
17973, , , Mechanical Equipment, , None, , , , , , , , , 
17974, , , Mechanical Equipment Tags, , None, , , , , , , , , 
17975, , , Curtain Panel Tags, , None, , , , , , , , , 
17976, , , Parking, , None, , , , , , , , , 
17977, , , Plumbing Fixture Tags, , None, , , , , , , , , 
17978, , , Plumbing Fixtures, , None, , , , , , , , , 
17982, , , Roads, , None, , , , , , , , , 
17983, , , Roofs, , None, , , , , , , , , 
17986, , , Rooms, , None, , , , , , , , , 
17987, , , Room Tags, , None, , , , , , , , , 
17988, , , Section Marks, , None, , , , , , , , , 
17989, , , <Medium Lines>, , None, , , , , , , , , 
17990, , , <Thin Lines>, , None, , , , , , , , , 
17991, , , <Wide Lines>, , None, , , , , , , , , 
17992, , , Sections, , None, , , , , , , , , 
17994, , , Site, , None, , , , , , , , , 
17995, , , Specialty Equipment, , None, , , , , , , , , 
17996, , , Specialty Equipment Tags, , None, , , , , , , , , 
17997, , , Stairs, , None, , , , , , , , , 
18000, , , UP Text, , None, , , , , , , , , 
18001, , , Supports, , None, , , , , , , , , 
18002, , , <Above> Supports, , None, , , , , , , , , 
18003, , , Structural Foundations, , None, , , , , , , , , 
18004, , , Structural Framing, , None, , , , , , , , , 
18005, , , Structural Framing Tags, , None, , , , , , , , , 
18006, , , Text Notes, , None, , , , , , , , , 
18007, , , Title Blocks, , None, , , , , , , , , 
18008, , , <Medium Lines>, , None, , , , , , , , , 
18009, , , <Thin Lines>, , None, , , , , , , , , 
18010, , , <Wide Lines>, , None, , , , , , , , , 
18011, , , Topography, , None, , , , , , , , , 
18012, , , View Titles, , None, , , , , , , , , 
18013, , , Viewports, , None, , , , , , , , , 
18014, , , Wall Tags, , None, , , , , , , , , 
18015, , , Walls, , None, , , , , , , , , 
18018, , , Window Tags, , None, , , , , , , , , 
18019, , , Windows, , None, , , , , , , , , 
18020, , , Elevation Swing, , None, , , , , , , , , 
18022, , , Frame/Mullion, , None, , , , , , , , , 
18024, , , Glass, , None, , , , , , , , , 
18026, , , Opening, , None, , , , , , , , , 
18027, , , Plan Swing, , None, , , , , , , , , 
18029, , , Sill/Head, , None, , , , , , , , , 
18031, , , <Axis of Rotation>, , None, , , , , , , , , 
18032, , , Boundary>, , None, , , , , , , , , 
18033, , , Riser>, , None, , , , , , , , , 
18034, , , Run>, , None, , , , , , , , , 
18035, , , Landing Center>, , None, , , , , , , , , 
18036, , , Railings, , None, , , , , , , , , 
18037, , , Ramps, , None, , , , , , , , , 
18038, , , Ghost, , None, , , , , , , , , 
18039, , , Groups, , None, , , , , , , , , 
18246, , , - element id 604, , None, , , , , , , , , 
18247, , , - element id 604, , None, , , , , , , , , 
18425, , , Massing, , None, , , , , , , , , 
18435, Materials, , Default, , None, , , , , , , , , 
18436, Materials, , Default Floor, , None, , , , , , , , , 
18437, Materials, , Default Roof, , None, , , , , , , , , 
18438, Materials, , Default Wall, , None, , , , , , , , , 
18439, Materials, , Glass, , None, , , , , , , , , 
18441, , , Balusters, , None, , , , , , , , , 
18442, , , Rails, , None, , , , , , , , , 
18445, , , Internal Object Styles, , None, , , , , , , , , 
18446, , , Cutting geometry, , None, , , , , , , , , 
18455, , , Detail Items, , None, , , , , , , , , 
18654, , , Crosshatch - Small, , None, , , , , , , , , 
18655, , , Diagonal Crosshatch - Small, , None, , , , , , , , , 
18656, , , Diagonal Down - Small, , None, , , , , , , , , 
18657, , , Diagonal Up - Small, , None, , , , , , , , , 
18658, , , Horizontal - Small, , None, , , , , , , , , 
18659, , , Vertical - Small, , None, , , , , , , , , 
18660, , , "3"" Parallel", , None, , , , , , , , , 
18661, , , "4"" Parallel", , None, , , , , , , , , 
18662, , , "6"" Parallel", , None, , , , , , , , , 
18663, , , Block 8x16, , None, , , , , , , , , 
18664, , , Block 8x8, , None, , , , , , , , , 
18665, , , Brick, , None, , , , , , , , , 
18669, , , "Shake 6""", , None, , , , , , , , , 
18935, Materials, , Earth, , None, , , , , , , , , 
18939, Materials, , "Concrete, Cast-in-Place gray", , None, , , , , , , , , 
18940, Materials, , "Concrete, Precast", , None, , , , , , , , , 
18941, Materials, , "Brick, Common", , None, , , , , , , , , 
18942, Materials, , Concrete Masonry Units, , None, , , , , , , , , 
18946, Materials, , Metal Stud Layer, , None, , , , , , , , , 
18949, Materials, , Metal Deck, , None, , , , , , , , , 
18953, Materials, , Aluminum, , None, , , , , , , , , 
18954, Materials, , Metal Furring, , None, , , , , , , , , 
18957, Materials, , "Plywood, Sheathing", , None, , , , , , , , , 
18959, Materials, , Oak Flooring, , None, , , , , , , , , 
18960, Materials, , "Softwood, Lumber", , None, , , , , , , , , 
18967, Materials, , "EIFS, Exterior Insulation", , None, , , , , , , , , 
18974, Materials, , Air, , None, , , , , , , , , 
18977, Materials, , Rigid insulation, , None, , , , , , , , , 
18982, Materials, , Vapor Retarder, , None, , , , , , , , , 
18983, Materials, , Damp-proofing, , None, , , , , , , , , 
18984, Materials, , "Glass, Clear Glazing", , None, , , , , , , , , 
18986, Materials, , Gypsum Wall Board, , None, , , , , , , , , 
18989, Materials, , "Tile, Mosaic, Gray", , None, , , , , , , , , 
18994, , , Plastic, , None, , , , , , , , , 
19063, , , Medium Lines, , None, , , , , , , , , 
19064, , , Medium Lines, , None, , , , , , , , , 
19107, , , Surface Pattern, , None, , , , , , , , , 
19108, , , Surface Pattern, , None, , , , , , , , , 
19109, , , Surface Pattern, , None, , , , , , , , , 
20915, , , System Panel, , None, , , , , , , , , 
21115, , , Filled region, , None, , , , , , , , , 
21857, , , Steel, , None, , , , , , , , , 
21858, , , Earth, , None, , , , , , , , , 
21859, , , , , None, , , , , , , , , 
21860, , , Color Fill Legends, , None, , , , , , , , , 
21861, , , Internal Object Styles, , None, , , , , , , , , 
21874, , , Concrete, , None, , , , , , , , , 
21875, , , Sand, , None, , , , , , , , , 
21877, , , , , None, , , , , , , , , 
21878, , , "1/4"" Bubble", , None, , , , , , , , , 
21880, , , Existing, , None, , , , , , , , , 
21881, , , Demolished, , None, , , , , , , , , 
21882, , , New, , None, , , , , , , , , 
21883, , , Temporary, , None, , , , , , , , , 
21884, , , Future, , None, , , , , , , , , 
21886, , , Project Phase Information, , None, , , , , , , , , 
21887, , , Walls, , None, , , , , , , , , 
21888, , , Surface Pattern, , None, , , , , , , , , 
21889, , , Windows, , None, , , , , , , , , 
21890, , , Glass, , None, , , , , , , , , 
21891, , , Frame/Mullion, , None, , , , , , , , , 
21892, , , Sill/Head, , None, , , , , , , , , 
21893, , , Opening, , None, , , , , , , , , 
21894, , , Doors, , None, , , , , , , , , 
21895, , , Panel, , None, , , , , , , , , 
21896, , , Opening, , None, , , , , , , , , 
21897, , , Frame/Mullion, , None, , , , , , , , , 
21898, , , Glass, , None, , , , , , , , , 
21899, , , Floors, , None, , , , , , , , , 
21900, , , Surface Pattern, , None, , , , , , , , , 
21901, , , Roofs, , None, , , , , , , , , 
21902, , , Surface Pattern, , None, , , , , , , , , 
21903, , , Ceilings, , None, , , , , , , , , 
21904, , , Columns, , None, , , , , , , , , 
21905, , , Stairs, , None, , , , , , , , , 
21908, , , Supports, , None, , , , , , , , , 
21909, , , <Above> Supports, , None, , , , , , , , , 
21915, , , Ramps, , None, , , , , , , , , 
21916, , , Massing, , None, , , , , , , , , 
21917, , , Curtain Panels, , None, , , , , , , , , 
21918, , , Curtain Wall Mullions, , None, , , , , , , , , 
21919, , , Generic Models, , None, , , , , , , , , 
21920, , , Casework, , None, , , , , , , , , 
21921, , , Roads, , None, , , , , , , , , 
21922, , , Structural Foundations, , None, , , , , , , , , 
21923, , , Structural Framing, , None, , , , , , , , , 
21924, , , Topography, , None, , , , , , , , , 
21925, , , Existing, , None, , , , , , , , , 
21926, , , Demolished, , None, , , , , , , , , 
21927, , , New, , None, , , , , , , , , 
21928, , , Temporary, , None, , , , , , , , , 
21929, , , Future, , None, , , , , , , , , 
21930, , , Plan Swing, , None, , , , , , , , , 
21931, , , Elevation Swing, , None, , , , , , , , , 
21932, , , Elevation Swing, , None, , , , , , , , , 
21933, , , Plan Swing, , None, , , , , , , , , 
21943, , , Empty System Panel, , None, , , , , , , , , 
22040, , , Scope Boxes, , None, , , , , , , , , 
22041, , , Line Weights, , None, , , , , , , , , 
22043, , , "Center 1/4""", , None, , , , , , , , , 
22045, , , "Dash Dot 3/16""", , None, , , , , , , , , 
22046, , , "Dash Dot Dot 3/8""", , None, , , , , , , , , 
22048, , , "Double Dash 5/8""", , None, , , , , , , , , 
22052, , , "Triple Dash 5/8""", , None, , , , , , , , , 
22054, , , , , None, , , , , , , , , 
22055, , , Diagonal Crosshatch, , None, , , , , , , , , 
22057, , , Raster Images, , None, , , , , , , , , 
22058, , , , , None, , , , , , , , , 
22059, , , "1/4"" Bubble", , None, , , , , , , , , 
22060, , , , , None, , , , , , , , , 
22061, , , "1/4"" Head", , None, , , , , , , , , 
22062, , , , , None, , , , , , , , , 
22063, , , No Head, , None, , , , , , , , , 
22065, , , , , None, , , , , , , , , 
22066, , , "Radial - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22068, , , , , None, , , , , , , , , 
22069, , , "Radial - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22072, , , "Linear - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22073, , , "1/4"" Head", , None, , , , , , , , , 
22075, , , "1/4"" Bubble", , None, , , , , , , , , 
22076, , , "1/4"" Trebuchet MS", , None, , , , , , , , , 
22077, , , Tag 1, , None, , , , , , , , , 
22081, , , No Head, , None, , , , , , , , , 
22164, , , Diagonal Crosshatch, , None, , , , , , , , , 
22165, , , "Radial - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22656, , , , , None, , , , , , , , , 
22657, , , "Angular - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22658, , , "Angular - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22659, , , , , None, , , , , , , , , 
22660, , , "Angular - 3/32"" Trebuchet MS", , None, , , , , , , , , 
22793, , , Show Previous Phase, , None, , , , , , , , , 
22794, , , Show Previous + New, , None, , , , , , , , , 
22795, , , Show Previous + Demo, , None, , , , , , , , , 
22796, , , Show Demo + New, , None, , , , , , , , , 
22797, , , Show All, , None, , , , , , , , , 
22799, , , <Insulation Batting Lines>, , None, , , , , , , , , 
22800, , , <Overhead>, , None, , , , , , , , , 
22801, , , <Hidden>, , None, , , , , , , , , 
22802, , , <Demolished>, , None, , , , , , , , , 
22803, , , "Overhead 3/32""", , None, , , , , , , , , 
22806, Materials, , Phase - Demo, , None, , , , , , , , , 
22807, Materials, , Phase - Exist, , None, , , , , , , , , 
22808, Materials, , Phase - Temporary, , None, , , , , , , , , 
22811, , , , , None, , , , , , , , , 
22812, , , "Diagonal 1/8""", , None, , , , , , , , , 
23049, , , , , None, , , , , , , , , 
23050, , , Diagonal Up, , None, , , , , , , , , 
23051, , , Diagonal Up, , None, , , , , , , , , 
23053, , , , , None, , , , , , , , , 
23054, , , Diagonal Down, , None, , , , , , , , , 
23055, , , Diagonal Down, , None, , , , , , , , , 
23057, , , , , None, , , , , , , , , 
23058, , , Horizontal Lines, , None, , , , , , , , , 
23059, , , Horizontal Lines, , None, , , , , , , , , 
23061, , , , , None, , , , , , , , , 
23062, , , Vertical Lines, , None, , , , , , , , , 
23063, , , Vertical Lines, , None, , , , , , , , , 
23065, , , , , None, , , , , , , , , 
23066, , , Solid Black, , None, , , , , , , , , 
23067, , , Solid Black, , None, , , , , , , , , 
23069, , , , , None, , , , , , , , , 
23070, , , Wood 1, , None, , , , , , , , , 
23071, , , Wood 1, , None, , , , , , , , , 
23073, , , , , None, , , , , , , , , 
23074, , , Ortho Crosshatch, , None, , , , , , , , , 
23075, , , Ortho Crosshatch, , None, , , , , , , , , 
23076, , , Railings, , None, , , , , , , , , 
23077, , , Balusters, , None, , , , , , , , , 
23078, , , Rails, , None, , , , , , , , , 
23080, , , , , None, , , , , , , , , 
23081, , , Graphic Style Information, , None, , , , , , , , , 
23082, , , Text Font, , None, , , , , , , , , 
23083, , , , , None, , , , , , , , , 
23084, , , Graphic Style Information, , None, , , , , , , , , 
23088, , , , , None, , , , , , , , , 
23089, , , Graphic Style Information, , None, , , , , , , , , 
23091, , , , , None, , , , , , , , , 
23092, , , Graphic Style Information, , None, , , , , , , , , 
23093, , , Text Font, , None, , , , , , , , , 
23094, , , , , None, , , , , , , , , 
23095, , , Graphic Style Information, , None, , , , , , , , , 
23099, , , , , None, , , , , , , , , 
23100, , , Graphic Style Information, , None, , , , , , , , , 
23853, , , Curtain Grids, , None, , , , , , , , , 
24145, Materials, , Carpet (1), , None, , , , , , , , , 
24146, Materials, , "Structure, Wood Joist/Rafter Layer", , None, , , , , , , , , 
24184, Materials, , Vinyl Composition Tile, , None, , , , , , , , , 
24185, , , "12"" Tile", , None, , , , , , , , , 
24186, , , "8"" Tile", , None, , , , , , , , , 
24187, , , "4.25"" Tile", , None, , , , , , , , , 
24202, Materials, , "Concrete, Lightweight", , None, , , , , , , , , 
24217, Materials, , "Structure, Steel Bar Joist Layer", , None, , , , , , , , , 
24243, Materials, , "Structure, Wood Joist/Rafter Layer, Batt Insulation", , None, , , , , , , , , 
24244, Materials, , "Roofing, EPDM Membrane", , None, , , , , , , , , 
24245, Materials, , Asphalt Shingle, , None, , , , , , , , , 
25461, , , , , None, , , , , , , , , 
25462, , , Arrow Filled 15 Degree, , None, , , , , , , , , 
25748, , , HerringBone 2x6, , None, , , , , , , , , 
25749, , , "Parquet 6""", , None, , , , , , , , , 
25750, , , Sand - Dense, , None, , , , , , , , , 
25751, , , Shingle, , None, , , , , , , , , 
25754, , , Aluminum, , None, , , , , , , , , 
25756, , , , , None, , , , , , , , , 
25757, , , Arrow Filled 30 Degree, , None, , , , , , , , , 
25759, , , , , None, , , , , , , , , 
25760, , , "Triangle Filled 3/32""", , None, , , , , , , , , 
25762, , , , , None, , , , , , , , , 
25763, , , "Dot Open 1/16""", , None, , , , , , , , , 
25765, , , , , None, , , , , , , , , 
25766, , , "Box Filled 3/32""", , None, , , , , , , , , 
25768, , , , , None, , , , , , , , , 
25769, , , "Heavy End 1/8""", , None, , , , , , , , , 
26330, , , <Beyond>, , None, , , , , , , , , 
26331, , , <Lines>, , None, , , , , , , , , 
27477, , , Surface Pattern, , None, , , , , , , , , 
27478, , , Surface Pattern, , None, , , , , , , , , 
27480, , , Interior Point, , None, , , , , , , , , 
27481, , , Site, , None, , , , , , , , , 
27483, , , Interior Point, , None, , , , , , , , , 
27484, , , Pads, , None, , , , , , , , , 
27485, , , Pads, , None, , , , , , , , , 
27486, , , Property Lines, , None, , , , , , , , , 
27487, , , Property Lines, , None, , , , , , , , , 
27488, , , Profiles, , None, , , , , , , , , 
27489, Materials, , Acoustic Ceiling Tile 24 x 48, , None, , , , , , , , , 
27490, , , Ceiling 24x24, , None, , , , , , , , , 
27491, , , Ceiling 24x48, , None, , , , , , , , , 
27492, Materials, , Acoustic Ceiling Tile 24 x 24, , None, , , , , , , , , 
27498, , , Sheets, , None, , , , , , , , , 
27503, , , Triangulation Edges, , None, , , , , , , , , 
27504, , , Triangulation Edges, , None, , , , , , , , , 
27505, , , Primary Contours, , None, , , , , , , , , 
27506, , , Primary Contours, , None, , , , , , , , , 
28058, , , <Area Boundary>, , None, , , , , , , , , 
28061, , , Structural Columns, , None, , , , , , , , , 
28062, , , Structural Columns, , None, , , , , , , , , 
28065, , , "24"" Trebuchet MS", , None, , , , , , , , , 
28066, , , Toposurface Settings, , None, , , , , , , , , 
28067, , , Wall Sweeps, , None, , , , , , , , , 
28068, , , Reveals, , None, , , , , , , , , 
28383, , , Site Tags, , None, , , , , , , , , 
28384, , , Parking Tags, , None, , , , , , , , , 
28385, , , Structural Column Tags, , None, , , , , , , , , 
28386, , , Structural Foundation Tags, , None, , , , , , , , , 
28387, , , <Centerline>, , None, , , , , , , , , 
28388, , , Areas, , None, , , , , , , , , 
28389, , , Area Tags, , None, , , , , , , , , 
28398, , , System Panel, , None, , , , , , , , , 
28399, , , Empty System Panel, , None, , , , , , , , , 
28430, , , Glazed, , None, , , , , , , , , 
28431, , , Empty, , None, , , , , , , , , 
28489, , , Schedule Graphics, , None, , , , , , , , , 
28595, , , Rectangular Mullion, , None, , , , , , , , , 
28596, , , Circular Mullion, , None, , , , , , , , , 
28597, , , Rectangular Mullion, , None, , , , , , , , , 
28598, , , Circular Mullion, , None, , , , , , , , , 
28600, , , "2.5"" x 5"" rectangular", , None, , , , , , , , , 
28602, , , "2.5"" Circular", , None, , , , , , , , , 
28604, , , "1.5"" x 2.5"" rectangular", , None, , , , , , , , , 
28608, , , "1"" Square", , None, , , , , , , , , 
28609, , , DOWN Text, , None, , , , , , , , , 
28611, , , Up Arrows, , None, , , , , , , , , 
28613, , , Down Arrows, , None, , , , , , , , , 
28646, , , Medium Lines, , None, , , , , , , , , 
28647, , , Thin Lines, , None, , , , , , , , , 
28648, , , Wide Lines, , None, , , , , , , , , 
28655, , , North Line, , None, , , , , , , , , 
28656, , , Medium Lines, , None, , , , , , , , , 
28657, , , North Line, , None, , , , , , , , , 
28658, , , Thin Lines, , None, , , , , , , , , 
28659, , , Wide Lines, , None, , , , , , , , , 
28801, , , , , None, , , , , , , , , 
28802, , , "Diagonal 3/64""", , None, , , , , , , , , 
28844, , , Heavy Lines, , None, , , , , , , , , 
28845, , , Heavy Lines, , None, , , , , , , , , 
28846, , , Light Lines, , None, , , , , , , , , 
28847, , , Light Lines, , None, , , , , , , , , 
28912, , , Insulation - Rigid, , None, , , , , , , , , 
28913, , , Masonry - Brick, , None, , , , , , , , , 
28914, , , Masonry - Concrete  Block, , None, , , , , , , , , 
28915, , , Wood - Finish, , None, , , , , , , , , 
29152, Elevations, , Elevation 1, , None, , , , , , , , , 
29153, Views, , East - Architectural, , None, , , , , , , , , 
29154, Views, , East - Architectural, , None, , , , , , , , , 
29156, , , East - Architectural, , None, , , , , , , , , 
29157, Elevations, , Elevation 2, , None, , , , , , , , , 
29162, Elevations, , Elevation 3, , None, , , , , , , , , 
29167, Elevations, , Elevation 4, , None, , , , , , , , , 
29176, Views, , North - Architectural, , None, , , , , , , , , 
29181, Views, , North - Architectural, , None, , , , , , , , , 
29183, , , North - Architectural, , None, , , , , , , , , 
29185, Views, , West - Architectural, , None, , , , , , , , , 
29191, Views, , West - Architectural, , None, , , , , , , , , 
29193, , , West - Architectural, , None, , , , , , , , , 
29194, Views, , South - Architectural, , None, , , , , , , , , 
29201, Views, , South - Architectural, , None, , , , , , , , , 
29203, , , South - Architectural, , None, , , , , , , , , 
29224, Materials, , Phase - New, , None, , , , , , , , , 
29236, , , Site, , None, , , , , , , , , 
29237, Views, , Site, , None, , , , , , , , , 
29238, , , Site, , None, , , , , , , , , 
29468, , , Stripe, , None, , , , , , , , , 
29469, , , Stripe, , None, , , , , , , , , 
29470, , , Parking Layout, , None, , , , , , , , , 
29471, , , Parking Layout, , None, , , , , , , , , 
29472, , , Reference Line, , None, , , , , , , , , 
29473, , , Reference Line, , None, , , , , , , , , 
29485, Views, , Architectural Plan, , None, , , , , , , , , 
29499, Views, , Structural Framing Plan, , None, , , , , , , , , 
29510, , , , , None, , , , , , , , , 
29511, , , "1/2"" Circle", , None, , , , , , , , , 
29512, , , "1/2"" Circle", , None, , , , , , , , , 
29937, , , Hidden Faces, , None, , , , , , , , , 
29938, , , Hidden Faces, , None, , , , , , , , , 
29939, , , Hidden Faces, , None, , , , , , , , , 
30142, , , Stick Symbols, , None, , , , , , , , , 
30143, , , Stick Symbols, , None, , , , , , , , , 
30144, , , Stick Symbols, , None, , , , , , , , , 
30145, , , Hidden Faces, , None, , , , , , , , , 
30146, , , Hidden Faces, , None, , , , , , , , , 
30147, , , Hidden Faces, , None, , , , , , , , , 
30271, Views, , Architectural Reflected Ceiling Plan, , None, , , , , , , , , 
30275, Views, , Site Plan, , None, , , , , , , , , 
31631, , , Ruled Curtain System, , None, , , , , , , , , 
31632, , , Planting, , None, , , , , , , , , 
31633, , , Entourage, , None, , , , , , , , , 
